category,title,content,external_key,source_url
guide,0. 본 가이드 이용 안내,"이 문서 모음은 쇼핑몰 공통의 기본 상담 지식입니다. 배송 기간·반품 기한·배송비 등 숫자는 일반적인 기본값이므로, 등록 전에 자사 정책에 맞게 수정하세요. 자사에 없는 제도(포인트·멤버십 등)를 다룬 문서는 삭제 후 업로드하면 됩니다. external_key를 유지한 채 재업로드하면 기존 문서가 중복 없이 갱신됩니다.",GUIDE-0-1,
guide,0. How to Use This Guide,"This document set is a baseline customer-support knowledge base for any shopping mall. Numbers such as delivery times, return windows, and shipping fees are common defaults — adjust them to your own policy before registering. Delete documents about programs you do not run (points, membership, etc.) before uploading. Re-uploading with the same external_key updates the existing documents without duplicates.",GUIDE-0-1-EN,
policy_legal,1.1 계정 생성과 보안,"고객은 쇼핑몰 계정을 만들 때 정확한 정보를 입력해야 하며, 로그인 정보의 보안은 고객 본인이 관리합니다. 계정 도용이나 무단 접근이 의심되면 즉시 비밀번호를 변경하고 고객센터에 알려 주세요. 상담원과 AI는 고객의 비밀번호를 묻지 않습니다.",GUIDE-1-1,
policy_legal,1.1 Account Creation and Security,"Customers should provide accurate information when creating an account and are responsible for keeping their login credentials secure. If unauthorized access is suspected, change the password immediately and notify customer support. Agents and the AI never ask for a customer’s password.",GUIDE-1-1-EN,
policy_legal,1.2 계정 정보 수정,"이름·연락처·배송지 등 계정 정보는 마이페이지에서 직접 수정할 수 있습니다. 이미 결제가 완료된 주문에는 변경된 배송지가 자동 반영되지 않으므로, 주문 관련 변경은 별도로 고객센터에 문의해야 합니다.",GUIDE-1-2,
policy_legal,1.2 Updating Account Information,"Name, contact, and shipping address can be updated directly in the account page. Changes do not automatically apply to orders already placed — for order-related changes, contact customer support separately.",GUIDE-1-2-EN,
policy_legal,1.3 개인정보 처리 원칙,"쇼핑몰은 주문 처리와 고객 지원에 필요한 최소한의 개인정보만 수집·이용하며, 자세한 내용은 개인정보처리방침 페이지를 안내합니다. AI는 개인정보의 구체적 처리 내역이나 법률 자문을 제공하지 않고, 관련 요청(열람·삭제 등)은 고객센터로 안내합니다.",GUIDE-1-3,
policy_legal,1.3 Privacy Principles,"The store collects and uses only the personal data needed for order processing and customer support; for details, direct customers to the privacy policy page. The AI does not provide specific data-handling records or legal advice — requests such as access or deletion go to customer support.",GUIDE-1-3-EN,
policy_legal,1.4 마케팅 수신동의와 거부,"이메일·문자 마케팅은 수신에 동의한 고객에게만 발송됩니다. 수신 거부는 메시지 하단의 수신거부 링크 또는 마이페이지 설정에서 언제든 가능하며, 처리에 며칠이 걸릴 수 있습니다. 수신을 거부해도 주문·배송 등 거래 관련 알림은 계속 발송됩니다.",GUIDE-1-4,
policy_legal,1.4 Marketing Consent and Opt-Out,"Email and SMS marketing is sent only to customers who opted in. Customers can opt out anytime via the unsubscribe link or account settings; processing may take a few days. Transactional notices (orders, shipping) continue regardless of marketing opt-out.",GUIDE-1-4-EN,
policy_legal,1.5 약관 관련 문의 응대,"이용약관의 해석이나 법적 효력에 대한 질문에는 AI가 확정적으로 답하지 않습니다. 약관 원문 페이지를 안내하고, 분쟁 소지가 있는 사안은 고객센터로 연결합니다.",GUIDE-1-5,
policy_legal,1.5 Handling Terms-of-Service Questions,The AI does not give definitive answers about the interpretation or legal effect of the terms of service. Point customers to the terms page and route potentially contentious matters to customer support.,GUIDE-1-5-EN,
policy_order,2.1 주문 접수와 확인,"주문이 완료되면 주문번호가 발급되고 확인 메일(또는 알림)이 발송됩니다. 확인 메일이 오지 않으면 스팸함과 주문내역을 먼저 확인하고, 결제만 되고 주문이 없으면 고객센터로 문의해 주세요.",GUIDE-2-1,
policy_order,2.1 Order Confirmation,"When an order is placed, an order number is issued and a confirmation email (or notification) is sent. If no confirmation arrives, check the spam folder and order history first; if payment went through but no order exists, contact customer support.",GUIDE-2-1-EN,
policy_order,2.2 주문 변경 불가 원칙,결제 완료 후에는 상품·옵션·수량·배송지·결제수단·쿠폰 적용을 원칙적으로 변경할 수 없습니다. 변경이 필요하면 출고 전에 주문을 취소하고 다시 주문하는 방법을 안내하세요.,GUIDE-2-2,
policy_order,2.2 Orders Cannot Be Modified,"After checkout, the product, options, quantity, shipping address, payment method, and applied coupons generally cannot be changed. If a change is needed, guide the customer to cancel before shipment and reorder.",GUIDE-2-2-EN,
policy_order,2.3 주문 취소 가능 시점,"주문 취소는 상품이 출고 준비에 들어가기 전까지 가능합니다. 출고 준비·포장 단계로 넘어가면 취소가 보장되지 않으며, 이미 발송된 주문은 취소할 수 없고 수령 후 반품 절차를 이용해야 합니다. 취소 요청은 최대한 빨리 접수하도록 안내하세요.",GUIDE-2-3,
policy_order,2.3 When an Order Can Be Canceled,"Orders can be canceled until fulfillment begins. Once the order enters picking or packing, cancellation is not guaranteed; a shipped order cannot be canceled and must go through the return process after delivery. Advise customers to request cancellation as early as possible.",GUIDE-2-3-EN,
policy_order,2.4 취소 후 환불,"취소된 주문은 원결제수단으로 전액 환불됩니다. 카드 승인 취소는 카드사에 따라 영업일 기준 1~7일가량 걸릴 수 있습니다. 취소 시 사용한 쿠폰·포인트 복원 규정은 쇼핑몰 정책에 따르며, 미확정이면 확답하지 말고 고객센터로 안내하세요.",GUIDE-2-4,
policy_order,2.4 Refunds After Cancellation,"Canceled orders are refunded in full to the original payment method. Card authorization reversals may take about 1–7 business days depending on the issuer. Whether coupons and points are restored follows store policy — if unconfirmed, do not promise and route to customer support.",GUIDE-2-4-EN,
policy_shipping,3.1 주문 처리 기간,"주문은 보통 결제 완료 후 1~2영업일 내에 출고됩니다. 주말·공휴일 주문은 다음 영업일부터 처리되며, 세일 기간에는 출고가 지연될 수 있습니다.",GUIDE-3-1,
policy_shipping,3.1 Order Processing Time,"Orders usually ship within 1–2 business days after payment. Orders placed on weekends or holidays are processed from the next business day, and shipping may be delayed during sale periods.",GUIDE-3-1-EN,
policy_shipping,3.2 배송 기간,출고 후 국내 표준 배송은 보통 2~5영업일이 걸립니다. 도서·산간 지역은 1~2일 더 걸릴 수 있습니다. 배송 기간은 예상치이며 택배사 사정에 따라 달라질 수 있습니다.,GUIDE-3-2,
policy_shipping,3.2 Delivery Time,"After dispatch, standard domestic delivery usually takes 2–5 business days. Remote areas may take 1–2 days longer. Delivery times are estimates and can vary with the carrier.",GUIDE-3-2-EN,
policy_shipping,3.3 배송비와 무료배송,"배송비는 주문 금액과 지역에 따라 결제 화면에 표시됩니다. 일정 금액 이상 주문 시 무료배송이 적용될 수 있으며, 기준 금액은 쇼핑몰 정책을 따릅니다. 반품·부분취소로 주문 금액이 무료배송 기준 아래로 내려가면 배송비가 차감될 수 있습니다.",GUIDE-3-3,
policy_shipping,3.3 Shipping Fees and Free Shipping,"Shipping fees are shown at checkout based on order amount and destination. Orders above a threshold may qualify for free shipping per store policy. If returns or partial cancellations drop the order below the threshold, the shipping fee may be deducted.",GUIDE-3-3-EN,
policy_shipping,3.4 배송 조회,상품이 출고되면 송장번호가 발급되고 주문내역에서 배송 상태를 조회할 수 있습니다. 송장 등록 직후에는 택배사 시스템에 반영되기까지 몇 시간이 걸릴 수 있습니다.,GUIDE-3-4,
policy_shipping,3.4 Order Tracking,"Once the order ships, a tracking number is issued and the delivery status can be checked in order history. Right after the number is issued, the carrier’s system may take a few hours to update.",GUIDE-3-4-EN,
policy_shipping,3.5 배송지 오류와 반송,"주소 오류·수취인 부재 등으로 배송이 실패하면 상품이 판매자에게 반송될 수 있습니다. 고객 사유로 반송된 경우 재배송 비용이 청구될 수 있으며, 잘못 입력된 주소는 출고 전에만 수정 요청이 가능합니다.",GUIDE-3-5,
policy_shipping,3.5 Undeliverable Packages and Returns to Sender,"If delivery fails due to an address error or absent recipient, the package may be returned to the seller. When the return is due to the customer, reshipping costs may apply. An incorrect address can only be corrected before dispatch.",GUIDE-3-5-EN,
policy_shipping,3.6 배송완료로 표시되었으나 미수령,"배송완료로 표시되었는데 상품을 받지 못한 경우, 먼저 무인함·경비실·가족 수령 여부와 배송 사진을 확인하도록 안내하세요. 그래도 찾지 못하면 배송완료 표시 후 일정 기간(예: 7일) 내에 고객센터로 신고하면 확인 후 재발송 또는 환불을 검토합니다. AI가 즉시 보상을 확정하지 않습니다.",GUIDE-3-6,
policy_shipping,3.6 Marked Delivered but Not Received,"If an order is marked delivered but not received, first ask the customer to check parcel lockers, the building office, family members, and any delivery photo. If still missing, report to customer support within a set period (e.g., 7 days) of the delivered status; reshipment or refund is reviewed after verification. The AI does not promise compensation on the spot.",GUIDE-3-6-EN,
policy_return,4.1 반품 가능 조건,"단순 변심 반품은 상품 수령 후 7일 이내, 상품과 포장이 재판매 가능한 상태일 때 가능합니다. 상품 하자·오배송의 경우 수령 후 30일 이내(관련 법이 정한 기간이 더 길면 그 기간)까지 반품할 수 있습니다. 구체적 기한은 쇼핑몰 정책에 맞게 수정하세요.",GUIDE-4-1,
policy_return,4.1 Return Eligibility,Change-of-mind returns are accepted within 7 days of delivery when the item and packaging are in resellable condition. Defective or wrong items can be returned within 30 days of delivery (or longer where required by law). Adjust the exact windows to your store policy.,GUIDE-4-1-EN,
policy_return,4.2 반품 신청 절차,"반품은 주문내역에서 신청하거나 고객센터로 접수합니다. 주문번호·반품 사유·(하자인 경우) 사진을 준비하면 처리가 빨라집니다. 접수 후 반품 방법과 반송 주소를 안내받은 뒤에 상품을 보내야 하며, 임의 반송은 처리되지 않을 수 있습니다.",GUIDE-4-2,
policy_return,4.2 How to Request a Return,"Returns are requested from order history or through customer support. Having the order number, reason, and photos (for defects) speeds up processing. Ship the item only after receiving return instructions and the return address — unauthorized shipments may not be processed.",GUIDE-4-2-EN,
policy_return,4.3 반품 배송비,단순 변심 반품의 왕복 배송비는 고객 부담이 원칙입니다. 상품 하자·오배송으로 인한 반품 배송비는 판매자가 부담합니다.,GUIDE-4-3,
policy_return,4.3 Return Shipping Fees,"For change-of-mind returns, the customer bears the round-trip shipping cost. For defective or wrong items, the seller covers return shipping.",GUIDE-4-3-EN,
policy_return,4.4 반품 검수와 처리,반품 상품이 도착하면 상태를 검수한 뒤 환불 또는 교환을 진행합니다. 검수에는 보통 도착 후 3~5영업일이 걸립니다. 사용 흔적·구성품 누락 등으로 조건에 맞지 않으면 반품이 거절되거나 차감 환불될 수 있습니다.,GUIDE-4-4,
policy_return,4.4 Return Inspection and Processing,"Returned items are inspected on arrival before a refund or exchange proceeds, typically within 3–5 business days. Items that show use or are missing components may be declined or partially refunded.",GUIDE-4-4-EN,
policy_return,4.5 교환,교환은 반품과 동일한 조건에서 가능합니다. 가장 빠른 방법은 반품 후 원하는 상품을 새로 주문하는 것입니다. 하자·오배송 상품은 동일 상품으로 무상 교환해 드립니다(배송비 판매자 부담).,GUIDE-4-5,
policy_return,4.5 Exchanges,"Exchanges follow the same conditions as returns. The fastest route is to return the item and place a new order. Defective or wrong items are exchanged for the same product free of charge, with shipping covered by the seller.",GUIDE-4-5-EN,
policy_return,4.6 반품 불가 상품,"다음은 반품·교환이 어렵습니다: 고객 요청으로 제작된 주문제작 상품, 개봉 시 가치가 급감하는 상품(밀봉 소프트웨어·위생용품 등), 훼손·사용된 상품, 반품불가로 표시된 특가 상품. 반품불가 여부는 상품 페이지와 결제 화면에 표시되어야 합니다.",GUIDE-4-6,
policy_return,4.6 Non-Returnable Items,"The following are generally not returnable: made-to-order items, products whose value drops sharply once opened (sealed software, hygiene goods), damaged or used items, and clearance items marked final sale. Non-returnable status should be shown on the product page and at checkout.",GUIDE-4-6-EN,
policy_refund,5.1 환불 수단과 기한,"환불은 원결제수단으로 진행됩니다. 카드 결제는 반품 검수 완료 후 보통 3~10영업일 내 승인 취소되며, 실제 반영 시점은 카드사에 따라 다릅니다. 포인트·상품권 결제분은 해당 수단으로 반환됩니다.",GUIDE-5-1,
policy_refund,5.1 Refund Method and Timeline,Refunds go to the original payment method. Card refunds are usually processed within 3–10 business days after inspection; the exact posting date depends on the card issuer. Amounts paid with points or gift cards are returned to those methods.,GUIDE-5-1-EN,
